id,mail,paye,date_commande,adresse_livraison
0,zuriarrain_jacob.sivaloganayaki.7351@free.fr,True,2020/02/23,8 Rue Jacques Cartier
1,vilasquez.mariecharles.5441@Gmail.com,False,,
2,daadoun.cidric.8201@Gmail.com,False,,
3,bombony.pasqueron.4788@Gmail.com,True,2016/03/26,82 Rue Lecourbe
4,mouline.elrazi.6818@hotmail.fr,False,,
5,molaie.yesika.737@Gmail.com,False,,
6,da_silva_barbosa_moreira.trycia.9801@free.fr,False,,
7,aboulahcen.perlina.8517@free.fr,True,2014/08/04,2 Impasse Dany
8,rasoazanamasy.sakibou.2963@hotmail.fr,True,2018/02/18,
9,isolica.brydo.7290@hotmail.fr,False,,
10,pereira_da_quinta.ifran.1630@free.fr,False,,
11,tefal.babete.8003@yahoo.com,True,2020/02/07,
12,loubeyres.sangeerthan.5709@hotmail.fr,False,,
13,seinbach.ibrahin.2757@hotmail.fr,False,,
14,banquettes.mordechay.731@free.fr,True,2012/05/30,70 Boulevard Richard-Lenoir
15,nazirbhai_ismailbhai_lorgat.lacoste.4304@Gmail.com,False,,
16,griffon_renaud.rejaene.130@free.fr,True,2015/07/13,1 Rue Guynemer
17,borgoo.nasseredine.6682@yahoo.com,True,2017/03/31,3 Rue Saint-Yves
18,akoumou.ciceley.1520@Gmail.com,True,2014/07/03,5 Rue du Pont Louis-Philippe
19,kakwata_wa_kakwata.theodorine.6690@yahoo.com,True,2021/02/17,97 Rue de Saussure
20,deso_vidal.cameron.4435@free.fr,True,2015/03/11,
21,santasusagna_freixas.xuhua.9167@hotmail.fr,False,,
22,alhasri.bounsy.7505@hotmail.fr,True,2013/05/14,101 Rue de Rennes
23,dammer.dongyue.2511@yahoo.com,True,2013/05/14,151 Rue du Château
24,gaudin_lecourt.singhtong.6876@free.fr,True,2020/09/18,29 Rue Yves Toudic
25,benadla.floriska.8972@hotmail.fr,True,2013/12/18,107 Rue Championnet
26,rezzag_salem.gaeti.6606@yahoo.com,False,,
27,pacchiele.tahurai.1748@free.fr,False,,
28,dokzsewska.gridazzi.1349@hotmail.fr,False,,
29,willemetz.jie.5364@hotmail.fr,True,2017/08/27,30 Boulevard Exelmans
30,ettlin.jingwei.6856@hotmail.fr,True,2015/07/28,110B Rue de Bercy
31,moudelette.machon.3806@free.fr,False,,
32,pailla.faiht.9238@yahoo.com,True,2010/11/12,6 Villa Saint-Michel
33,vannella.saimir.1279@hotmail.fr,True,2010/01/09,7 Rue Curial
34,mossant.antoon.6320@hotmail.fr,True,2018/04/10,17 Hameau Boileau
35,greteau.kensuke.2947@yahoo.com,True,2018/02/07,
36,beleavschi.geronce.5469@Gmail.com,False,,
37,buidine.abddelkrim.449@free.fr,False,,
38,pechmejac.derkan.4507@Gmail.com,True,2016/03/03,
39,baciocchi.cozannet.2741@hotmail.fr,False,,
40,bayo_alonso.berg.6978@Gmail.com,False,,
41,mahalaine.eddilo.8915@yahoo.com,False,,
42,alziari_carrier.guedelie.5967@Gmail.com,False,,
43,nornberg.radha.5002@hotmail.fr,False,,
44,pereira_brasil.zaiyer.3546@free.fr,False,,
45,duprielle.mouayad.9057@hotmail.fr,False,,
46,ngandu_deyane_barthelme.jalna.9827@Gmail.com,False,,
47,seica.chathurika.6985@Gmail.com,True,2019/07/23,
